RUN=0 0 1 2 3 4 5 6 7 8 9 10
../../imagenes/barbara.pgm 0.702452 0.702452 0.702452 0.696614 0.690414 0.688960 0.687319 0.688579 0.692334 0.698660 0.706132 
../../imagenes/bike.pgm 0.630799 0.630799 0.630799 0.620068 0.607508 0.605032 0.601290 0.599924 0.599742 0.600955 0.603678 
../../imagenes/faxballsL.pgm 0.212256 0.212256 0.212256 0.210494 0.209743 0.206915 0.203849 0.202522 0.202406 0.204236 0.206294 
../../imagenes/kodim07.pgm 0.546034 0.546034 0.546034 0.544851 0.543328 0.540617 0.538641 0.538533 0.539295 0.541448 0.543406 
../../imagenes/kodim20.pgm 0.489230 0.489230 0.489230 0.484792 0.476423 0.473543 0.471425 0.469538 0.470224 0.470697 0.472300 
../../imagenes/kodim24.pgm 0.674606 0.674606 0.674606 0.667376 0.661209 0.656094 0.651696 0.650147 0.648656 0.649721 0.652047 
../../imagenes/tools.pgm 0.748019 0.748019 0.748019 0.744358 0.741443 0.734874 0.731981 0.730807 0.731346 0.732932 0.735802 
../../imagenes/womanc.pgm 0.606859 0.606859 0.606859 0.602952 0.600048 0.597140 0.591104 0.588929 0.588062 0.588389 0.589532 

RUN=1 0 1 2 3 4 5 6 7 8 9 10
../../imagenes/barbara.pgm 0.702255 0.702255 0.702255 0.696450 0.690272 0.688803 0.687225 0.688464 0.692214 0.698523 0.705972 
../../imagenes/bike.pgm 0.628727 0.628727 0.628727 0.618422 0.606048 0.603575 0.600002 0.598618 0.598465 0.599688 0.602441 
../../imagenes/faxballsL.pgm 0.161734 0.161734 0.161734 0.160033 0.159307 0.156493 0.153697 0.152410 0.152291 0.154027 0.156111 
../../imagenes/kodim07.pgm 0.542726 0.542726 0.542726 0.541750 0.540136 0.537667 0.535746 0.535637 0.536835 0.538940 0.541306 
../../imagenes/kodim20.pgm 0.459772 0.459772 0.459772 0.456420 0.448610 0.446198 0.444499 0.443008 0.443570 0.444216 0.445760 
../../imagenes/kodim24.pgm 0.652341 0.652341 0.652341 0.644716 0.641206 0.638388 0.635803 0.635184 0.636353 0.639135 0.641887 
../../imagenes/tools.pgm 0.746121 0.746121 0.746121 0.742470 0.739627 0.733187 0.730380 0.729263 0.729906 0.731555 0.734398 
../../imagenes/womanc.pgm 0.606095 0.606095 0.606095 0.602301 0.599546 0.596627 0.590667 0.588443 0.587608 0.587933 0.589076 

